channel_id,channel_title,custom_url,channel_url,country,channel_published_at,uploads_playlist_id,last_seen_utc
UC7XxmEXw7wXgh259vYCSjkQ,Cmonavis 2,@cmonavis2,https://www.youtube.com/channel/UC7XxmEXw7wXgh259vYCSjkQ,FR,2011-10-02T12:38:07Z,UU7XxmEXw7wXgh259vYCSjkQ,2026-01-31 15:50:36
UC7rdUip5Q8R7Ki1haNbdwwg,SoloTech,@solotechfr,https://www.youtube.com/channel/UC7rdUip5Q8R7Ki1haNbdwwg,FR,2015-09-18T11:08:12Z,UU7rdUip5Q8R7Ki1haNbdwwg,2026-01-31 15:50:36
UC7sFrgyGelEr6eny6_PsGXQ,Tom's Guide France,@tomsguidefr,https://www.youtube.com/channel/UC7sFrgyGelEr6eny6_PsGXQ,FR,2007-07-05T09:11:20Z,UU7sFrgyGelEr6eny6_PsGXQ,2026-01-31 15:50:36
UCA25ZdZZF5XE6ihPE5pwfnw,Materiel.net,@materielnet,https://www.youtube.com/channel/UCA25ZdZZF5XE6ihPE5pwfnw,FR,2013-10-08T12:39:30Z,UUA25ZdZZF5XE6ihPE5pwfnw,2026-01-31 15:50:36
UCAOjk3Po21_t7L1MDHQ4-Og,FNK Hardware,@fnkhardware,https://www.youtube.com/channel/UCAOjk3Po21_t7L1MDHQ4-Og,FR,2017-02-25T15:31:48Z,UUAOjk3Po21_t7L1MDHQ4-Og,2026-01-31 15:50:36
UCA_DfRJwb5U0S4UiiH3BtUg,Jérémy Dufour,@jeremydufour,https://www.youtube.com/channel/UCA_DfRJwb5U0S4UiiH3BtUg,CH,2018-10-19T13:09:22Z,UUA_DfRJwb5U0S4UiiH3BtUg,2026-01-31 15:50:36
UCAicNsMAZgbqPr_0QsnI1PA,Cobra.fr,@cobrasonhd,https://www.youtube.com/channel/UCAicNsMAZgbqPr_0QsnI1PA,FR,2010-09-11T15:34:14Z,UUAicNsMAZgbqPr_0QsnI1PA,2026-01-31 15:50:36
UCAz-755tH3m8_BwaluzdJwQ,Numerama,@numerama,https://www.youtube.com/channel/UCAz-755tH3m8_BwaluzdJwQ,FR,2014-02-18T19:09:41Z,UUAz-755tH3m8_BwaluzdJwQ,2026-01-31 15:50:36
UCB0ffaItcXwkgbVu8Hvq3Tw,QUENTIN,@quentincougniot,https://www.youtube.com/channel/UCB0ffaItcXwkgbVu8Hvq3Tw,FR,2012-03-02T13:53:28Z,UUB0ffaItcXwkgbVu8Hvq3Tw,2026-01-31 15:50:36
UCB32y6dm508Hap4_Mn-ZnHQ,Presse-citron,@pressecitronhd,https://www.youtube.com/channel/UCB32y6dm508Hap4_Mn-ZnHQ,FR,2014-01-07T10:35:44Z,UUB32y6dm508Hap4_Mn-ZnHQ,2026-01-31 15:50:36
UCBOGe_x7aqQV4Ly5Rfa4iow,Les Tests de Cyril,@lestestsdecyril,https://www.youtube.com/channel/UCBOGe_x7aqQV4Ly5Rfa4iow,FR,2016-06-04T19:47:04Z,UUBOGe_x7aqQV4Ly5Rfa4iow,2026-01-31 15:50:36
UCBqYyDusSFntU7k2UnFGsBA,Giga Content,@giga-content,https://www.youtube.com/channel/UCBqYyDusSFntU7k2UnFGsBA,FR,2021-04-27T10:53:13.162256Z,UUBqYyDusSFntU7k2UnFGsBA,2026-01-31 15:50:36
UCC5xS4j2xUyGO2UfjFh5LsQ,Nooz,@nooz_tech,https://www.youtube.com/channel/UCC5xS4j2xUyGO2UfjFh5LsQ,FR,2022-10-29T21:17:45.165185Z,UUC5xS4j2xUyGO2UfjFh5LsQ,2026-01-31 15:50:36
UCCM6zpvTcgXeNqLmQ9swugQ,Selectos Lifestyle,@selectoslifestyle,https://www.youtube.com/channel/UCCM6zpvTcgXeNqLmQ9swugQ,BE,2020-08-12T12:59:38.267866Z,UUCM6zpvTcgXeNqLmQ9swugQ,2026-01-31 15:50:36
UCCUlTcDhcn72O8TiNfFJWWA,GLG video (JT Geek),@lesmagouilles,https://www.youtube.com/channel/UCCUlTcDhcn72O8TiNfFJWWA,FR,2007-12-01T13:39:04Z,UUCUlTcDhcn72O8TiNfFJWWA,2026-01-31 15:50:36
UCDBYphtxNDXGQe5eyHYZ6Fw,GUILLAUME,@yt_guillaume,https://www.youtube.com/channel/UCDBYphtxNDXGQe5eyHYZ6Fw,FR,2016-08-25T09:08:29Z,UUDBYphtxNDXGQe5eyHYZ6Fw,2026-01-31 15:50:36
UCDY3WI0HqdzNADtE6B-BmUw,MrG Tech,@mrg-tech,https://www.youtube.com/channel/UCDY3WI0HqdzNADtE6B-BmUw,FR,2013-09-01T20:58:15Z,UUDY3WI0HqdzNADtE6B-BmUw,2026-01-31 15:50:36
UCDfGCQqgOKPYeiaG3I4vl4w,Marty,@marty_,https://www.youtube.com/channel/UCDfGCQqgOKPYeiaG3I4vl4w,FR,2015-08-28T00:15:23Z,UUDfGCQqgOKPYeiaG3I4vl4w,2026-01-31 15:50:36
UCDvCJx3pU8N-23ilB6tNMlg,mister gadget,@mistgadget,https://www.youtube.com/channel/UCDvCJx3pU8N-23ilB6tNMlg,FR,2020-08-07T10:11:08.695721Z,UUDvCJx3pU8N-23ilB6tNMlg,2026-01-31 15:50:36
UCEPqgSzHj7vlJj5pGX9dDdA,Gilo & Alex,@giloetalex,https://www.youtube.com/channel/UCEPqgSzHj7vlJj5pGX9dDdA,FR,2024-11-26T09:30:03.374598Z,UUEPqgSzHj7vlJj5pGX9dDdA,2026-01-31 15:50:36
UCFrfK9IFqO15S7C52DdnSog,GIGATOP,@gigatop,https://www.youtube.com/channel/UCFrfK9IFqO15S7C52DdnSog,FR,2021-05-05T06:29:06.586539Z,UUFrfK9IFqO15S7C52DdnSog,2026-01-31 15:50:36
UCGMxP4yf3ixAAEKQc3d76gw,Arnaud,@arnaudducouret,https://www.youtube.com/channel/UCGMxP4yf3ixAAEKQc3d76gw,FR,2012-11-28T16:31:31Z,UUGMxP4yf3ixAAEKQc3d76gw,2026-01-31 15:50:36
UCGjKSSIpN7aYQluu04kPrsA,Brandon Le Proktor,@brandonleproktor,https://www.youtube.com/channel/UCGjKSSIpN7aYQluu04kPrsA,FR,2009-04-14T18:15:15Z,UUGjKSSIpN7aYQluu04kPrsA,2026-01-31 15:50:36
UCH6ppHEvV3_WIXEwmhv9HEg,Deus Ex Silicium,@dexsilicium,https://www.youtube.com/channel/UCH6ppHEvV3_WIXEwmhv9HEg,FR,2014-09-10T15:04:58Z,UUH6ppHEvV3_WIXEwmhv9HEg,2026-01-31 15:50:36
UCHGvOgxAA_MFOH1yyhjcR-Q,ArtBen,@artben,https://www.youtube.com/channel/UCHGvOgxAA_MFOH1yyhjcR-Q,FR,2008-01-03T08:43:22Z,UUHGvOgxAA_MFOH1yyhjcR-Q,2026-01-31 15:50:36
UCHJb6-VCrzQqVQASN23OskQ,Jigfio Ti Super,@jigfio2.0,https://www.youtube.com/channel/UCHJb6-VCrzQqVQASN23OskQ,FR,2024-01-04T14:28:56.432697Z,UUHJb6-VCrzQqVQASN23OskQ,2026-01-31 15:50:36
UCHgZ3SrY7FhB0KjFki50fEQ,Gabinks,@gabinks,https://www.youtube.com/channel/UCHgZ3SrY7FhB0KjFki50fEQ,FR,2014-12-03T19:22:44Z,UUHgZ3SrY7FhB0KjFki50fEQ,2026-01-31 15:50:36
UCIaNSaws_Wv_eoUAmDbUK-Q,MT High Tech Deal's,@mthightechdeals-y1w,https://www.youtube.com/channel/UCIaNSaws_Wv_eoUAmDbUK-Q,FR,2024-07-11T20:36:08.17555Z,UUIaNSaws_Wv_eoUAmDbUK-Q,2026-01-31 15:50:36
UCIorGsaWVmlkpNsngTQPDAg,Clubic,@clubic,https://www.youtube.com/channel/UCIorGsaWVmlkpNsngTQPDAg,FR,2014-02-05T12:48:16Z,UUIorGsaWVmlkpNsngTQPDAg,2026-01-31 15:50:36
UCJ3MlRSjtv2sT-rIDsFg0fw,Sam_VNR,@vnrsam,https://www.youtube.com/channel/UCJ3MlRSjtv2sT-rIDsFg0fw,,2025-04-14T21:18:17.602901Z,UUJ3MlRSjtv2sT-rIDsFg0fw,2026-01-31 15:50:36
UCJ4p_F-vCnEn5V5OtFN8Q3w,FrenchMakito,@frenchmakito,https://www.youtube.com/channel/UCJ4p_F-vCnEn5V5OtFN8Q3w,,2023-11-24T21:44:38.480284Z,UUJ4p_F-vCnEn5V5OtFN8Q3w,2026-01-31 15:50:36
UCJLKCYMkCbOW9wzmeUj8dwQ,MEHDI’N TECH,@mehdintech,https://www.youtube.com/channel/UCJLKCYMkCbOW9wzmeUj8dwQ,,2021-02-18T07:29:52.804476Z,UUJLKCYMkCbOW9wzmeUj8dwQ,2026-01-31 15:50:36
UCJPa4sr9B_mLjShfHhWi8yg,TECnaiche,@tecnaiche,https://www.youtube.com/channel/UCJPa4sr9B_mLjShfHhWi8yg,FR,2015-10-26T19:29:15Z,UUJPa4sr9B_mLjShfHhWi8yg,2026-01-31 15:50:36
